"b","MixedProduct","SideLength"
0.5,4.764511,-27235.906
0.502,4.8025293,-26905.625
0.504,4.841196,-26577.281
0.506,4.880547,-26250.844
0.508,4.9206047,-25926.312
0.51,4.9613633,-25603.625
0.512,5.002876,-25282.844
0.514,5.0450826,-24964.188
0.516,5.0881433,-24647.312
0.518,5.1320105,-24332.344
0.52,5.176661,-24019.219
0.522,5.2222095,-23708.125
0.524,5.268605,-23398.938
0.526,5.3159657,-23091.688
0.528,5.364215,-22786.438
0.53,5.413431,-22483.156
0.532,5.463742,-22181.719
0.534,5.51503,-21882.188
0.536,5.5673966,-21584.688
0.538,5.62088,-21289.188
0.54,5.6754956,-20995.688
0.542,5.731303,-20704.094
0.544,5.788362,-20414.5
0.546,5.8466854,-20126.938
0.548,5.906268,-19841.375
0.55,5.967288,-19557.781
0.552,6.029669,-19276.25
0.554,6.093541,-18996.75
0.556,6.1588745,-18719.312
0.55799997,6.22585,-18443.875
0.56,6.2944508,-18170.438
0.562,6.3647194,-17899.25
0.564,6.436776,-17630.031
0.566,6.510629,-17362.969
0.568,6.586416,-17098.062
0.57,6.664178,-16835.188
0.572,6.743979,-16574.594
0.574,6.8259306,-16316.0625
0.576,6.91012,-16059.8125
0.578,6.996639,-15805.781
0.58,7.0855894,-15554.0625
0.582,7.177091,-15304.406
0.584,7.271219,-15057.156
0.586,7.3680863,-14812.3125
0.588,7.467879,-14569.8125
0.59000003,7.5706987,-14329.6875
0.592,7.6766796,-14091.969
0.594,7.785919,-13856.8125
0.596,7.89874,-13624.125
0.598,8.015124,-13394.0625
0.6,8.135329,-13166.75
0.602,8.259627,-12942.0
0.604,8.388088,-12720.0625
0.606,8.521089,-12500.9375
0.608,8.658711,-12284.656
0.61,8.801306,-12071.594
0.612,8.949104,-11861.5625
0.614,9.10247,-11654.656
0.616,9.261687,-11451.281
0.61800003,9.427013,-11251.219
0.62,9.598977,-11054.875
0.622,9.777854,-10862.156
0.624,9.964141,-10673.5
0.626,10.158339,-10489.031
0.628,10.360943,-10308.8125
0.63,10.572417,-10133.375
0.63199997,10.793488,-9962.875
0.634,11.024824,-9797.5625
0.63600004,11.267093,-9637.8125
0.638,11.521258,-9484.094
0.64,11.78797,-9336.906
0.642,12.068513,-9196.5625
0.644,12.363821,-9063.906
0.646,12.675009,-8939.531
0.648,13.003645,-8824.1875
0.65,13.350948,-8718.9375
0.652,13.718918,-8624.75
0.654,14.10932,-8542.75
0.656,14.524372,-8474.531
0.658,14.9664135,-8421.781
0.65999997,15.43801,-8386.5
0.662,15.94287,-8370.906
0.66400003,16.483967,-8378.156
0.666,17.06607,-8411.25
0.668,17.693724,-8474.625
0.67,18.3726,-8573.1875
0.672,19.109127,-8713.125
0.674,19.911325,-8902.0625
0.676,20.788494,-9149.3125
0.678,21.751656,-9467.0
0.68,22.81448,-9870.531
0.682,23.992847,-10379.25
0.684,25.307875,-11019.125
0.686,26.784012,-11824.125
0.68799996,28.453215,-12840.031
0.69,30.357483,-14130.281
0.69200003,32.548992,-15782.531
0.694,35.099598,-17924.094
0.696,38.105824,-20741.75
0.698,41.702473,-24520.75
0.7,46.083817,-29712.969
0.702,51.53792,-37065.875
0.704,58.51711,-47895.5
0.706,67.767395,-64683.03
0.708,80.61673,-92573.03
0.71,99.67777,-143686.03
0.712,130.90253,-252476.94
0.714,191.4145,-551728.75
0.716,358.936,-1988036.5
0.718,3089.5283,-1.51278688E8
0.72,-462.1047,-3482571.5
0.722,-213.75208,-767951.06
0.724,-138.49475,-332657.75
0.726,-102.1217,-186802.06
0.728,-80.67863,-120491.53
0.73,-66.53295,-84719.59
0.732,-56.49814,-63173.438
0.73399997,-49.00616,-49151.062
0.736,-43.196903,-39485.875
0.73800004,-38.558537,-32520.969
0.74,-34.768124,-27321.406
0.742,-31.610847,-23324.969
0.744,-28.938683,-20177.719
0.746,-26.646925,-17648.219
0.748,-24.658575,-15578.969
0.75,-22.916147,-13860.031
0.752,-21.375523,-12412.6875
0.754,-20.002895,-11179.594
0.75600004,-18.771399,-10117.969
0.758,-17.659435,-9195.0
