b,MixedProduct,DotProduct,SideLength
0.5,2.1683366,-127212.83,-71789.69
0.5025,2.1726387,-126741,-71246.72
0.505,2.1768825,-126269.17,-70705.84
0.5075,2.18108,-125797.484,-70167.19
0.51,2.1852312,-125325.75,-69630.44
0.5125,2.1893325,-124853.945,-69095.69
0.515,2.1933866,-124382.25,-68563.06
0.5175,2.1973882,-123910.484,-68032.44
0.52,2.201351,-123438.695,-67503.81
0.5225,2.2052624,-122966.89,-66977.234
0.525,2.2091243,-122495.266,-66452.92
0.5275,2.2129426,-122023.516,-65930.484
0.53,2.2167168,-121551.875,-65410.188
0.5325,2.2204587,-121080.07,-64891.72
0.535,2.224135,-120608.39,-64375.58
0.5375,2.2277844,-120136.72,-63861.36
0.54,2.2313888,-119665.016,-63349.188
0.5425,2.2349496,-119193.3,-62839.03
0.545,2.2384744,-118721.64,-62330.953
0.5475,2.241954,-118250.016,-61825
0.55,2.2453976,-117778.33,-61321.016
0.5525,2.2488046,-117306.625,-60819
0.555,2.25217,-116835.03,-60319.22
0.5575,2.2554924,-116363.34,-59821.375
0.56,2.2587883,-115891.68,-59325.547
0.5625,2.2620466,-115420.06,-58831.86
0.565,2.2652738,-114948.29,-58339.97
0.5675,2.268459,-114476.766,-57850.484
0.57,2.2716224,-114005.06,-57362.766
0.5725,2.2747502,-113533.34,-56877.047
0.575,2.2778366,-113061.84,-56393.812
0.5775,2.280911,-112590.086,-55912.125
0.58,2.2839441,-112118.42,-55432.625
0.5825,2.2869604,-111646.76,-54955.188
0.585,2.2899334,-111175.22,-54480.016
0.5875,2.2928941,-110703.47,-54006.516
0.59000003,2.295828,-110231.805,-53535.25
0.5925,2.2987413,-109760.125,-53065.938
0.595,2.301625,-109288.45,-52598.72
0.59749997,2.3044941,-108816.74,-52133.53
0.6,2.307343,-108345.06,-51670.36
0.6025,2.3101678,-107873.35,-51209.234
0.605,2.312987,-107401.61,-50750.08
0.6075,2.3157835,-106929.94,-50293.11
0.61,2.3185637,-106458.22,-49838.11
0.6125,2.3213384,-105986.5,-49385.125
0.615,2.3240917,-105514.8,-48934.28
0.6175,2.3268409,-105043.03,-48485.36
0.62,2.3295863,-104571.22,-48038.438
0.6225,2.3323221,-104099.484,-47593.625
0.625,2.3350644,-103627.61,-47150.688
0.6275,2.3377817,-103155.84,-46710.03
0.63,2.3405173,-102683.92,-46271.14
0.6325,2.343239,-102212.19,-45834.58
0.635,2.34597,-101740.29,-45399.875
0.6375,2.3487134,-101268.35,-44967.156
0.64,2.351447,-100796.484,-44536.61
0.6425,2.3542075,-100324.44,-44107.86
0.645,2.3569777,-99852.47,-43681.234
0.6475,2.3597503,-99380.47,-43256.72
0.65,2.3625388,-98908.445,-42834.188
0.65250003,2.3653524,-98436.34,-42413.656
0.655,2.368192,-97964.2,-41995.08
0.6575,2.3710444,-97492.016,-41578.58
0.65999997,2.373923,-97019.89,-41164.22
0.6625,2.3768387,-96547.53,-40751.61
0.665,2.3797843,-96075.25,-40341.17
0.6675,2.3827643,-95602.85,-39932.688
0.67,2.3857756,-95130.516,-39526.344
0.6725,2.388833,-94658.02,-39121.89
0.675,2.3919368,-94185.55,-38719.5
0.6775,2.3950863,-93712.984,-38319.125
0.68,2.3982837,-93240.33,-37920.758
0.6825,2.4015355,-92767.66,-37524.42
0.685,2.404852,-92294.875,-37130.08
0.6875,2.4082282,-91822,-36737.72
0.69,2.4116793,-91349.016,-36347.266
0.6925,2.4151812,-90876.02,-35958.984
0.695,2.4187856,-90402.85,-35572.53
0.6975,2.4224494,-89929.69,-35188.25
0.7,2.42621,-89456.32,-34805.805
0.7025,2.43005,-88982.95,-34425.523
0.705,2.4339943,-88509.3,-34047
0.7075,2.4380274,-88035.69,-33670.688
0.71,2.442183,-87561.875,-33296.234
0.7125,2.4464462,-87087.92,-32923.773
0.71500003,2.45082,-86613.875,-32553.36
0.7175,2.4553256,-86139.59,-32184.82
0.72,2.459965,-85665.16,-31818.258
0.72249997,2.4647324,-85190.734,-31453.844
0.725,2.469655,-84715.84,-31091.14
0.7275,2.4747212,-84241.016,-30730.648
0.73,2.4799588,-83765.8,-30371.922
0.7325,2.4853568,-83290.516,-30015.29
0.735,2.4909425,-82814.89,-29660.5
0.7375,2.4967012,-82339.08,-29307.727
0.74,2.5026524,-81863.14,-28957.055
0.7425,2.508825,-81386.84,-28608.156
0.745,2.515195,-80910.3,-28261.32
0.7475,2.5218236,-80433.36,-27916.203
0.75,2.52866,-79956.19,-27573.21
0.7525,2.5357518,-79478.72,-27232.14
0.755,2.5431194,-79000.84,-26892.898
0.7575,2.550753,-78522.61,-26555.617
0.76,2.5586789,-78043.97,-26220.227
0.7625,2.566898,-77564.97,-25886.844
0.765,2.5754468,-77085.48,-25555.25
0.76750004,2.5843225,-76605.61,-25225.688
0.77,2.5935462,-76125.26,-24898.016
0.77250004,2.6031468,-75644.31,-24572.148
0.775,2.6131163,-75162.89,-24248.273
0.77750003,2.6235137,-74680.79,-23926.14
0.78,2.6343355,-74198.12,-23605.906
0.7825,2.645592,-73714.78,-23287.602
0.78499997,2.65732,-73230.84,-22971.219
0.7875,2.66955,-72746.02,-22656.547
0.78999996,2.6823082,-72260.45,-22343.734
0.7925,2.695607,-71774.08,-22032.82
0.79499996,2.70947,-71286.914,-21723.86
0.7975,2.723953,-70798.63,-21416.54
0.8,2.7390811,-70309.39,-21111.047
0.8025,2.7548587,-69819.17,-20807.523
0.805,2.7713745,-69327.66,-20505.578
0.8075,2.7886238,-68834.98,-20205.531
0.81,2.80665,-68341.04,-19907.336
0.8125,2.8255374,-67845.63,-19610.758
0.815,2.8452857,-67348.734,-19316.012
0.8175,2.8659563,-66850.31,-19023.086
0.82,2.887637,-66350.02,-18731.719
0.8225,2.9103255,-65848.016,-18442.242
0.825,2.9341311,-65344.008,-18154.418
0.8275,2.959097,-64837.867,-17868.281
0.83000004,2.985277,-64329.562,-17584
0.8325,3.0127876,-63818.773,-17301.309
0.83500004,3.04168,-63305.332,-17020.285
0.8375,3.0720394,-62789.086,-16740.977
0.84000003,3.1039689,-62269.81,-16463.324
0.8425,3.1375725,-61747.215,-16187.293
0.845,3.1729362,-61221.133,-15912.977
0.84749997,3.2102032,-60691.14,-15640.242
0.85,3.2494874,-60157.03,-15369.176
0.85249996,3.2909188,-59618.5,-15099.805
0.855,3.3346593,-59074.938,-14831.984
0.85749996,3.3808706,-58526.18,-14565.867
0.86,3.4297113,-57971.605,-14301.383
0.8625,3.4813862,-57410.81,-14038.605
0.865,3.53609,-56843.234,-13777.602
0.8675,3.594055,-56268.14,-13518.301
0.87,3.6555388,-55684.945,-13260.82
0.8725,3.720825,-55092.75,-13005.102
0.875,3.7902026,-54490.727,-12751.285
0.8775,3.864,-53878,-12499.508
0.88,3.9426112,-53253.305,-12249.742
0.8825,4.0263886,-52615.65,-12002.32
0.885,4.1158314,-51963.465,-11757.238
0.8875,4.2114377,-51295.258,-11514.746
0.89,4.313745,-50609.35,-11275.172
0.89250004,4.4233937,-49903.64,-11038.766
0.895,4.541065,-49175.945,-10805.969
0.89750004,4.6675563,-48423.67,-10577.281
0.9,4.803754,-47643.883,-10353.289
0.90250003,4.950679,-46833.03,-10134.699
0.905,5.1094213,-45987.46,-9922.57
0.9075,5.281305,-45102.42,-9717.992
0.90999997,5.467814,-44172.74,-9522.434
0.9125,5.6706424,-43192.227,-9337.758
0.91499996,5.8917174,-42153.832,-9166.297
0.9175,6.133366,-41048.78,-9010.859
0.91999996,6.3981476,-39867.383,-8875.291
0.9225,6.6891923,-38597.496,-8764.283
0.925,7.010055,-37225.117,-8684.01
0.9275,7.3650813,-35732.82,-8642.25
0.93,7.759299,-34100.082,-8649.426
0.9325,8.19885,-32301.281,-8718.969
0.935,8.691066,-30305.469,-8868.912
0.9375,9.244892,-28073.963,-9123.295
0.94,9.871347,-25558.314,-9514.6875
0.9425,10.584047,-22697.484,-10087.768
0.945,11.400065,-19413.52,-10904.615
0.9475,12.341071,-15605.412,-12052.791
